user_id,age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day
1,53,Male,6.8,2.9,2.1,0.5,2.0,2.3,3.0,2.3,2.2,7.1,4.0,5.6,3,4.4,Rural,79.0,True,True,150.4,7.0,3.0,14.0
2,66,Female,4.1,2.1,1.6,0.4,0.8,2.8,3.5,2.0,1.6,6.8,4.0,6.0,4,4.1,Rural,71.0,True,True,124.1,7.0,10.0,15.5
3,43,Male,4.7,3.6,0.0,0.5,1.4,3.7,3.6,1.0,0.9,6.0,4.0,4.3,6,1.4,Urban,67.0,True,True,218.3,11.0,7.0,19.5
4,29,Female,6.0,4.5,0.0,0.2,1.3,4.5,4.0,0.8,0.3,7.3,4.0,1.3,10,0.0,Rural,55.0,True,True,133.7,17.0,14.0,13.9
5,57,Male,6.7,3.4,2.0,0.8,1.2,3.8,3.5,1.2,2.0,7.0,4.0,3.6,6,2.8,Urban,62.0,False,False,192.8,5.0,8.0,26.7
6,22,Male,8.6,2.4,3.4,1.4,1.1,4.5,3.8,1.0,0.7,6.0,3.0,1.2,9,1.4,Urban,51.0,False,False,191.4,14.0,13.0,9.2
7,35,Male,5.9,4.1,1.8,0.0,0.4,3.8,3.9,1.9,1.2,6.6,4.0,3.1,6,1.9,Suburban,62.0,False,True,110.3,7.0,5.0,21.4
8,53,Male,7.3,2.5,2.2,0.9,2.4,4.5,3.8,1.2,0.9,6.9,4.0,1.4,10,0.0,Urban,45.0,True,True,266.6,21.0,12.0,13.5
9,72,Female,4.2,1.2,0.5,1.2,2.3,0.3,1.1,2.3,2.6,7.2,4.0,9.1,1,5.1,Urban,77.0,False,True,162.0,2.0,2.0,19.6
10,33,Male,5.6,2.0,2.6,0.3,1.4,2.6,3.2,1.6,1.4,8.0,4.0,7.7,4,3.6,Suburban,78.0,True,False,148.0,11.0,8.0,21.4
11,37,Female,8.1,2.7,2.6,1.4,2.7,4.5,3.9,1.4,1.0,7.7,3.0,1.0,10,0.0,Suburban,49.0,True,False,150.9,11.0,15.0,14.3
12,25,Male,6.2,2.7,0.7,0.6,2.0,4.5,4.2,0.8,1.9,6.7,3.0,1.0,10,0.0,Suburban,45.0,True,False,130.4,14.0,20.0,9.4
13,25,Male,3.6,1.0,2.1,0.0,0.3,3.3,3.9,1.6,1.7,8.3,5.0,5.2,5,5.9,Urban,67.0,True,False,176.7,5.0,9.0,22.1
14,38,Male,1.0,1.0,0.0,0.0,1.0,2.4,2.9,2.4,1.6,8.7,5.0,7.6,3,4.9,Suburban,83.0,True,False,133.5,4.0,2.0,22.7
15,67,Male,7.2,1.7,2.3,1.1,2.9,3.9,4.1,1.9,0.9,7.3,3.0,4.6,7,0.0,Suburban,57.0,False,True,162.2,6.0,6.0,17.0
16,50,Male,4.4,2.5,0.9,1.0,1.0,2.3,3.0,1.8,1.6,7.0,4.0,8.5,3,4.1,Suburban,74.0,True,False,141.6,4.0,3.0,34.5
17,54,Male,3.7,2.6,0.2,1.5,0.7,4.5,4.0,2.3,0.5,7.6,4.0,1.0,9,0.0,Urban,41.0,False,False,120.3,17.0,8.0,6.8
18,38,Female,5.8,2.1,1.9,1.0,2.1,3.8,3.8,1.9,1.6,6.2,4.0,3.7,6,4.6,Suburban,58.0,True,True,183.4,9.0,11.0,13.0
19,17,Male,3.2,1.2,0.0,0.5,1.1,4.5,4.1,1.1,1.0,7.3,4.0,1.0,10,0.0,Suburban,43.0,False,False,130.3,18.0,15.0,9.9
20,36,Female,7.6,3.6,1.9,0.9,2.0,4.5,3.8,1.7,1.6,7.1,3.0,1.0,9,0.1,Suburban,43.0,False,False,209.2,9.0,17.0,8.9
21,67,Female,2.2,1.0,0.3,0.6,1.4,1.9,2.9,2.2,1.7,7.9,4.0,7.0,3,2.4,Rural,76.0,False,True,190.6,5.0,3.0,25.3
22,16,Male,5.3,3.2,0.0,0.4,0.6,4.5,4.2,0.8,1.6,7.1,3.0,1.9,10,0.0,Rural,49.0,False,True,203.5,20.0,15.0,6.5
23,38,Male,5.1,2.7,1.6,0.3,0.7,4.5,3.8,1.3,1.0,7.4,4.0,1.0,8,0.0,Rural,60.0,False,False,129.8,11.0,11.0,17.6
24,58,Other,3.3,3.2,1.3,0.0,0.0,2.2,2.9,1.6,2.1,7.1,4.0,8.2,3,4.5,Suburban,71.0,True,True,124.0,6.0,7.0,26.1
25,44,Female,4.3,1.6,3.1,0.2,0.3,3.5,3.5,1.1,1.6,8.2,4.0,3.8,6,0.0,Suburban,58.0,False,True,121.4,7.0,8.0,16.2
26,52,Female,4.0,1.9,0.1,0.6,2.0,1.3,2.4,2.8,2.5,8.2,4.0,8.7,2,4.3,Rural,79.0,False,True,209.0,5.0,2.0,32.4
27,16,Male,8.4,2.0,3.0,0.0,2.6,4.1,3.6,2.3,1.2,7.2,3.0,2.8,7,2.9,Rural,61.0,True,False,52.9,16.0,2.0,21.4
28,74,Female,1.8,1.6,0.2,0.3,0.8,1.2,1.6,2.2,3.0,7.6,4.0,9.5,1,5.3,Rural,88.0,True,True,140.6,0.0,2.0,41.3
29,35,Female,5.0,2.2,2.5,1.2,0.0,4.1,4.0,1.5,0.1,7.0,5.0,2.2,7,0.4,Suburban,67.0,False,True,101.4,17.0,9.0,22.5
30,47,Female,9.6,3.4,2.7,1.4,2.5,4.5,3.7,0.8,1.4,7.2,3.0,1.0,10,0.0,Rural,57.0,False,False,206.2,15.0,19.0,14.6
31,26,Other,5.9,0.8,1.9,0.3,2.6,4.5,4.0,1.9,0.9,7.4,5.0,1.5,9,0.4,Urban,51.0,False,False,232.7,16.0,11.0,14.6
32,72,Male,3.2,1.4,0.6,0.3,2.1,2.1,2.9,2.2,1.6,7.1,5.0,8.2,3,2.5,Rural,76.0,False,False,164.9,9.0,5.0,15.4
33,36,Male,1.0,1.3,0.0,0.2,0.0,2.3,3.1,2.4,1.8,8.4,5.0,7.4,3,5.1,Urban,75.0,True,True,51.7,2.0,4.0,12.4
34,58,Female,3.0,1.9,0.0,0.3,1.9,2.2,2.9,2.7,1.8,7.4,5.0,8.4,3,3.5,Urban,82.0,False,True,176.3,2.0,5.0,22.8
35,39,Female,7.2,1.9,3.5,1.3,2.0,4.1,4.3,1.4,1.7,6.6,4.0,2.0,7,2.3,Suburban,58.0,False,False,58.3,11.0,14.0,19.2
36,63,Male,6.8,2.7,1.2,1.6,2.3,4.5,4.4,1.8,0.7,7.6,4.0,2.8,8,0.0,Suburban,54.0,True,False,180.1,11.0,11.0,11.6
37,41,Male,2.9,2.0,0.3,0.0,1.6,4.3,3.8,1.8,1.3,7.3,5.0,2.7,7,0.9,Urban,62.0,False,False,143.2,9.0,12.0,19.3
38,73,Male,2.2,2.3,0.2,0.1,0.6,0.4,1.2,2.7,2.9,7.8,5.0,10.0,1,5.8,Urban,84.0,False,True,229.3,3.0,3.0,20.8
39,56,Male,3.7,2.4,1.7,0.0,1.0,1.5,2.5,2.3,2.3,8.2,5.0,6.6,2,5.2,Urban,89.0,True,False,29.5,5.0,5.0,26.0
40,42,Female,5.6,2.2,1.1,0.6,2.6,4.5,3.8,2.0,0.8,7.9,5.0,2.2,8,2.0,Rural,55.0,False,False,98.0,8.0,12.0,13.6
41,74,Female,3.5,2.6,0.0,0.3,1.8,2.7,3.3,1.7,1.7,7.7,4.0,5.5,4,5.5,Suburban,79.0,False,True,66.9,6.0,6.0,26.5
42,30,Male,4.9,1.9,2.5,0.8,0.1,3.6,3.3,1.6,1.1,6.8,4.0,4.0,5,2.5,Urban,65.0,False,False,113.9,5.0,11.0,23.2
43,29,Male,9.1,3.5,1.9,1.0,3.1,4.5,3.7,1.3,0.8,6.7,4.0,1.3,10,1.0,Urban,39.0,False,True,174.8,16.0,19.0,9.4
44,61,Male,10.0,4.3,3.5,0.9,2.6,4.5,4.1,0.1,1.5,7.9,2.0,1.0,10,0.8,Urban,45.0,False,True,34.3,13.0,15.0,7.0
45,65,Male,7.3,2.6,2.8,0.0,3.1,2.7,3.4,1.3,2.4,7.6,3.0,5.4,4,4.6,Urban,73.0,False,False,66.3,10.0,3.0,27.5
46,58,Female,4.6,2.2,0.0,0.6,2.5,4.4,3.8,1.4,1.0,7.3,4.0,1.8,8,1.4,Suburban,63.0,True,True,161.3,15.0,14.0,16.2
47,69,Other,5.2,2.6,3.1,0.0,0.5,2.6,3.5,1.5,1.2,6.7,4.0,5.5,4,6.1,Urban,84.0,True,False,179.3,4.0,7.0,12.6
48,66,Female,6.2,1.0,2.8,1.6,1.7,4.4,3.5,1.5,1.5,6.3,4.0,2.4,8,2.6,Urban,60.0,False,True,181.4,9.0,8.0,13.6
49,71,Male,4.3,2.2,0.7,0.4,2.0,2.1,2.9,2.2,2.3,8.1,4.0,6.8,3,3.0,Suburban,64.0,False,True,173.0,0.0,0.0,26.2
50,17,Female,3.1,1.3,1.0,0.0,0.1,3.7,3.8,1.4,1.6,8.2,5.0,3.5,6,3.4,Urban,69.0,True,True,146.0,10.0,12.0,25.4
51,51,Female,4.1,2.5,2.0,0.3,0.2,1.7,2.1,2.5,2.3,7.5,4.0,9.0,2,4.4,Urban,76.0,False,False,215.2,5.0,1.0,33.4
52,65,Female,3.4,1.3,0.4,0.7,2.1,2.9,3.5,2.4,2.1,7.3,5.0,5.9,4,2.9,Urban,72.0,False,False,241.2,9.0,5.0,12.3
